GeneSymbol	#tax_id	GeneID	LocusTag	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Nomenclature_status	Other_designations	Modification_date	Feature_type
ABCG2	9606	9429	-	ABC15|ABCP|BCRP|BCRP1|BMDP|CD338|CDw338|CDw388|EST157481|GOUT1|MRX|MXR|MXR-1|MXR1|UAQTL1	MIM:603756|HGNC:HGNC:74|Ensembl:ENSG00000118777|AllianceGenome:HGNC:74	4	4q22.1	ATP binding cassette subfamily G member 2 (JR blood group)	protein-coding	ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	O	broad substrate specificity ATP-binding cassette transporter ABCG2|ABC transporter|ATP binding cassette subfamily G member 2 (Junior blood group)|ATP-binding cassette transporter G2|ATP-binding cassette, sub-family G (WHITE), member 2 (Junior blood group)|ATPbinding cassette transporter ABCG2|breast cancer resistance protein|broad substrate specificity ATP-binding cassette transporter ABCG2 isoform 1 (Junior blood group)|mitoxantrone resistance-associated protein|multi drug resistance efflux transport ATP-binding cassette sub-family G (WHITE) member 2|placenta specific MDR protein|placenta-specific ATP-binding cassette transporter|urate exporter	20250519	-
ABHD11	9606	83451	-	PP1226|WBSCR21	MIM:621050|HGNC:HGNC:16407|Ensembl:ENSG00000106077|AllianceGenome:HGNC:16407	7	7q11.23	abhydrolase domain containing 11	protein-coding	ABHD11	abhydrolase domain containing 11	O	sn-1-specific diacylglycerol lipase ABHD11|Williams Beuren syndrome chromosome region 21|abhydrolase domain-containing protein 11|alpha/beta hydrolase domain-containing protein 11|protein ABHD11	20250503	-
ABI3BP	9606	25890	-	NESHBP|TARSH	MIM:606279|HGNC:HGNC:17265|Ensembl:ENSG00000154175|AllianceGenome:HGNC:17265	3	3q12.2	ABI family member 3 binding protein	protein-coding	ABI3BP	ABI family member 3 binding protein	O	target of Nesh-SH3|ABI family, member 3 (NESH) binding protein|ABI gene family member 3-binding protein|ABI gene family, member 3 (NESH) binding protein|nesh-binding protein	20250503	-
ABLIM3	9606	22885	-	HMFN1661	MIM:611305|HGNC:HGNC:29132|Ensembl:ENSG00000173210|AllianceGenome:HGNC:29132	5	5q32	actin binding LIM protein family member 3	protein-coding	ABLIM3	actin binding LIM protein family member 3	O	actin-binding LIM protein 3|abLIM-3	20250503	-
ABO	9606	28	-	A3GALNT|A3GALT1|GTB|NAGAT	MIM:110300|HGNC:HGNC:79|Ensembl:ENSG00000175164|AllianceGenome:HGNC:79	9	9q34.2	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	protein-coding	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	O	histo-blood group ABO system transferase|ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)|B(A) alpha-1,3-galactosyltransferase|histo-blood group A2 transferase	20250519	-
ABRACL	9606	58527	-	C6orf115|Costars|HSPC280|PRO2013	HGNC:HGNC:21230|Ensembl:ENSG00000146386|AllianceGenome:HGNC:21230	6	6q24.1	ABRA C-terminal like	protein-coding	ABRACL	ABRA C-terminal like	O	costars family protein ABRACL|ABRA C-terminal-like protein	20250503	-
AC004816	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC005180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC005180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC007920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC007996	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC008764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC009005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC010503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC010789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC011472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC012085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC015912	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC016747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC016877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC025154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC025580	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC026336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC027449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC053503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC053503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC055839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC083799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC083855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC084866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC087521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC090498	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC091076	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC092306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC092376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC092718	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC093849	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC097382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC104794	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC105942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC107959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC126773	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC136475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC136475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC136628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC138904	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACACB	9606	32	-	ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275	MIM:601557|HGNC:HGNC:85|Ensembl:ENSG00000076555|AllianceGenome:HGNC:85	12	12q24.11	acetyl-CoA carboxylase beta	protein-coding	ACACB	acetyl-CoA carboxylase beta	O	acetyl-CoA carboxylase 2|acetyl-Coenzyme A carboxylase beta	20250503	-
ACBD7	9606	414149	-	bA455B2.2	HGNC:HGNC:17715|Ensembl:ENSG00000176244|AllianceGenome:HGNC:17715	10	10p13	acyl-CoA binding domain containing 7	protein-coding	ACBD7	acyl-CoA binding domain containing 7	O	acyl-CoA-binding domain-containing protein 7|acyl-Coenzyme A binding domain containing 7	20250503	-
ACKR1	9606	2532	-	CCBP1|CD234|DARC|DARC/ACKR1|Dfy|FY|GPD|GpFy|WBCQ1	MIM:613665|HGNC:HGNC:4035|Ensembl:ENSG00000213088|AllianceGenome:HGNC:4035	1	1q23.2	atypical chemokine receptor 1 (Duffy blood group)	protein-coding	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	O	atypical chemokine receptor 1|Duffy antigen chemokine receptor|Duffy antigen receptor for chemokines|Duffy blood group antigen|Duffy blood group system protein|Duffy blood group, chemokine receptor|Fy glycoprotein|bloodgroup FY protein|glycoprotein D|plasmodium vivax receptor|solute carrier family 29 member 1 (augustine blood group)	20250504	-
ACOX2	9606	8309	-	BCOX|BRCACOX|BRCOX|CBAS6|THCCox	MIM:601641|HGNC:HGNC:120|Ensembl:ENSG00000168306|AllianceGenome:HGNC:120	3	3p14.3	acyl-CoA oxidase 2	protein-coding	ACOX2	acyl-CoA oxidase 2	O	peroxisomal acyl-coenzyme A oxidase 2|3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase|3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA oxidase|THCA-CoA oxidase|acyl-CoA oxidase 2, branched chain|acyl-Coenzyme A oxidase 2, branched chain|branched chain acyl-CoA oxidase|peroxisomal branched chain acyl-CoA oxidase|trihydroxycoprostanoyl-CoA oxidase	20250503	-
ACTA2	9606	59	-	ACTSA|SMDYS	MIM:102620|HGNC:HGNC:130|Ensembl:ENSG00000107796|AllianceGenome:HGNC:130	10	10q23.31	actin alpha 2, smooth muscle	protein-coding	ACTA2	actin alpha 2, smooth muscle	O	actin, aortic smooth muscle|actin, alpha 2, smooth muscle, aorta|alpha-cardiac actin|cell growth-inhibiting gene 46 protein	20250503	-
ACTA2-AS1	9606	100132116	-	UC001kfo|ZXF1|uc001kfo.1	HGNC:HGNC:45169|Ensembl:ENSG00000180139|AllianceGenome:HGNC:45169	10	10q23.31	ACTA2 antisense RNA 1	ncRNA	ACTA2-AS1	ACTA2 antisense RNA 1	O	-	20250402	-
ACTG2	9606	72	-	ACT|ACTA3|ACTE|ACTL3|ACTSG|MMIHS5|VSCM|VSCM1	MIM:102545|HGNC:HGNC:145|Ensembl:ENSG00000163017|AllianceGenome:HGNC:145	2	2p13.1	actin gamma 2, smooth muscle	protein-coding	ACTG2	actin gamma 2, smooth muscle	O	actin, gamma-enteric smooth muscle|actin, gamma 2, smooth muscle, enteric|actin-like protein|alpha-actin-3	20250511	-
ACVRL1	9606	94	-	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	MIM:601284|HGNC:HGNC:175|Ensembl:ENSG00000139567|AllianceGenome:HGNC:175	12	12q13.13	activin A receptor like type 1	protein-coding	ACVRL1	activin A receptor like type 1	O	activin receptor type-1-like|serine/threonine-protein kinase receptor R3|TGF-B superfamily receptor type I|activin A receptor type II-like 1|activin A receptor type IL|activin A receptor, type II-like kinase 1	20250503	-
ADAM33	9606	80332	-	C20orf153|DJ964F7.1	MIM:607114|HGNC:HGNC:15478|Ensembl:ENSG00000149451|AllianceGenome:HGNC:15478	20	20p13	ADAM metallopeptidase domain 33	protein-coding	ADAM33	ADAM metallopeptidase domain 33	O	disintegrin and metalloproteinase domain-containing protein 33|ADAM 33|a disintegrin and metalloprotease 33|a disintegrin and metalloproteinase domain 33|disintegrin and reprolysin metalloproteinase family protein	20250503	-
ADAMTS1	9606	9510	-	C3-C5|METH1	MIM:605174|HGNC:HGNC:217|Ensembl:ENSG00000154734|AllianceGenome:HGNC:217	21	21q21.3	ADAM metallopeptidase with thrombospondin type 1 motif 1	protein-coding	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1	O	A disintegrin and metalloproteinase with thrombospondin motifs 1|ADAM-TS 1|ADAM-TS1|ADAMTS-1|METH-1|a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1|human metalloproteinase with thrombospondin type 1 motifs|metalloprotease and thrombospondin-1	20250519	-
ADAMTS5	9606	11096	-	ADAM-TS 11|ADAM-TS 5|ADAM-TS5|ADAMTS-11|ADAMTS-5|ADAMTS11|ADMP-2	MIM:605007|HGNC:HGNC:221|Ensembl:ENSG00000154736|AllianceGenome:HGNC:221	21	21q21.3	ADAM metallopeptidase with thrombospondin type 1 motif 5	protein-coding	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5	O	A disintegrin and metalloproteinase with thrombospondin motifs 5|a disintegrin and metalloproteinase with thrombospondin motifs 11|a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)|aggrecanase-2	20250503	-
ADAMTS9-AS1	9606	101929335	-	-	HGNC:HGNC:40625|Ensembl:ENSG00000241158|AllianceGenome:HGNC:40625	3	3p14.1	ADAMTS9 antisense RNA 1	ncRNA	ADAMTS9-AS1	ADAMTS9 antisense RNA 1	O	ADAMTS9 antisense RNA 1 (non-protein coding)	20250304	-
ADAMTSL1	9606	92949	-	ADAMTSL-1|ADAMTSR1|C9orf94|PUNCTIN	MIM:609198|HGNC:HGNC:14632|Ensembl:ENSG00000178031|AllianceGenome:HGNC:14632	9	9p22.2-p22.1	ADAMTS like 1	protein-coding	ADAMTSL1	ADAMTS like 1	O	ADAMTS-like protein 1|ADAM-TS related protein 1|punctin-1	20250503	-
ADAMTSL3	9606	57188	-	ADAMTSL-3	MIM:609199|HGNC:HGNC:14633|Ensembl:ENSG00000156218|AllianceGenome:HGNC:14633	15	15q25.2	ADAMTS like 3	protein-coding	ADAMTSL3	ADAMTS like 3	O	ADAMTS-like protein 3|a disintegrin-like and metalloprotease domain with thrombospondin type I motifs-like 3|punctin-2	20250503	-
ADAMTSL4	9606	54507	-	ADAMTSL-4|ECTOL2|TSRC1	MIM:610113|HGNC:HGNC:19706|Ensembl:ENSG00000143382|AllianceGenome:HGNC:19706	1	1q21.2	ADAMTS like 4	protein-coding	ADAMTSL4	ADAMTS like 4	O	ADAMTS-like protein 4|thrombospondin repeat-containing protein 1	20250503	-
ADAMTSL5	9606	339366	-	THSD6	HGNC:HGNC:27912|Ensembl:ENSG00000185761|AllianceGenome:HGNC:27912	19	19p13.3	ADAMTS like 5	protein-coding	ADAMTSL5	ADAMTS like 5	O	ADAMTS-like protein 5|ADAMTSL-5|thrombospondin type-1 domain-containing protein 6|thrombospondin, type I, domain containing 6	20250503	-
ADARB1	9606	104	-	ADAR2|DRABA2|DRADA2|NEDHYMS|RED1	MIM:601218|HGNC:HGNC:226|Ensembl:ENSG00000197381|AllianceGenome:HGNC:226	21	21q22.3	adenosine deaminase RNA specific B1	protein-coding	ADARB1	adenosine deaminase RNA specific B1	O	double-stranded RNA-specific editase 1|RNA editing deaminase 1|RNA-editing enzyme 1|adenosine deaminase, RNA-specific, B1 (homolog of rat RED1)|dsRNA adenosine deaminase DRADA2	20250503	-
ADCY4	9606	196883	-	AC4	MIM:600292|HGNC:HGNC:235|Ensembl:ENSG00000129467|AllianceGenome:HGNC:235	14	14q12	adenylate cyclase 4	protein-coding	ADCY4	adenylate cyclase 4	O	adenylate cyclase type 4|ATP pyrophosphate-lyase 4|adenylate cyclase type IV|adenylyl cyclase 4	20250503	-
ADCY5	9606	111	-	AC5|DSKOD|FDFM	MIM:600293|HGNC:HGNC:236|Ensembl:ENSG00000173175|AllianceGenome:HGNC:236	3	3q21.1	adenylate cyclase 5	protein-coding	ADCY5	adenylate cyclase 5	O	adenylate cyclase type 5|ATP pyrophosphate-lyase 5|adenylate cyclase type V|adenylyl cyclase 5|epididymis secretory sperm binding protein	20250514	-
ADCY8	9606	114	-	AC8|ADCY3|HBAC1	MIM:103070|HGNC:HGNC:239|Ensembl:ENSG00000155897|AllianceGenome:HGNC:239	8	8q24.22	adenylate cyclase 8	protein-coding	ADCY8	adenylate cyclase 8	O	adenylate cyclase type 8|ATP pyrophosphate-lyase 8|HEL-S-172mP|adenylate cyclase 8 (brain)|adenylate cyclase type VIII|adenylyl cyclase 8|adenylyl cyclase-8, brain|ca(2+)/calmodulin-activated adenylyl cyclase|epididymis secretory sperm binding protein Li 172mP	20250503	-
ADCY9	9606	115	-	AC9|ACIX	MIM:603302|HGNC:HGNC:240|Ensembl:ENSG00000162104|AllianceGenome:HGNC:240	16	16p13.3	adenylate cyclase 9	protein-coding	ADCY9	adenylate cyclase 9	O	adenylate cyclase type 9|ATP pyrophosphate-lyase 9|adenylate cyclase type IX|adenylyl cyclase 9|type IX ATP pyrophosphate-lyase	20250503	-
ADGRA2	9606	25960	-	GPR124|TEM5	MIM:606823|HGNC:HGNC:17849|Ensembl:ENSG00000020181|AllianceGenome:HGNC:17849	8	8p11.23	adhesion G protein-coupled receptor A2	protein-coding	ADGRA2	adhesion G protein-coupled receptor A2	O	adhesion G protein-coupled receptor A2|G-protein coupled receptor 124|tumor endothelial marker 5	20250503	-
ADGRD1	9606	283383	-	GPR133|PGR25	MIM:613639|HGNC:HGNC:19893|Ensembl:ENSG00000111452|AllianceGenome:HGNC:19893	12	12q24.33	adhesion G protein-coupled receptor D1	protein-coding	ADGRD1	adhesion G protein-coupled receptor D1	O	adhesion G-protein coupled receptor D1|G-protein coupled receptor 133|G-protein coupled receptor PGR25|probable G-protein coupled receptor 133	20250503	-
ADGRE5	9606	976	-	CD97|TM7LN1	MIM:601211|HGNC:HGNC:1711|Ensembl:ENSG00000123146|AllianceGenome:HGNC:1711	19	19p13.12	adhesion G protein-coupled receptor E5	protein-coding	ADGRE5	adhesion G protein-coupled receptor E5	O	adhesion G protein-coupled receptor E5|CD97 molecule|leukocyte antigen CD97|seven transmembrane helix receptor|seven-span transmembrane protein|seven-transmembrane, heterodimeric receptor associated with inflammation	20250503	-
ADGRF5	9606	221395	-	GPR116|KPG_001	MIM:620874|HGNC:HGNC:19030|Ensembl:ENSG00000069122|AllianceGenome:HGNC:19030	6	6p12.3	adhesion G protein-coupled receptor F5	protein-coding	ADGRF5	adhesion G protein-coupled receptor F5	O	adhesion G protein-coupled receptor F5|G-protein coupled receptor 116|Ig-Hepta homolog|probable G-protein coupled receptor 116	20250503	-
ADGRL4	9606	64123	-	ELTD1|ETL|KPG_003	MIM:616419|HGNC:HGNC:20822|Ensembl:ENSG00000162618|AllianceGenome:HGNC:20822	1	1p31.1	adhesion G protein-coupled receptor L4	protein-coding	ADGRL4	adhesion G protein-coupled receptor L4	O	adhesion G protein-coupled receptor L4|EGF, latrophilin and seven transmembrane domain containing 1|EGF, latrophilin and seven transmembrane domain-containing protein 1|EGF-TM7-latrophilin-related protein	20250503	-
ADH1B	9606	125	-	ADH2|HEL-S-117	MIM:103720|HGNC:HGNC:250|Ensembl:ENSG00000196616|AllianceGenome:HGNC:250	4	4q23	alcohol dehydrogenase 1B (class I), beta polypeptide	protein-coding	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	O	all-trans-retinol dehydrogenase [NAD(+)] ADH1B|ADH, beta subunit|alcohol dehydrogenase 2 (class I), beta polypeptide|alcohol dehydrogenase subunit beta|aldehyde reductase|epididymis secretory protein Li 117	20250503	-
ADM	9606	133	-	AM|PAMP	MIM:103275|HGNC:HGNC:259|Ensembl:ENSG00000148926|AllianceGenome:HGNC:259	11	11p15.4	adrenomedullin	protein-coding	ADM	adrenomedullin	O	pro-adrenomedullin|preproadrenomedullin|proadrenomedullin N-20 terminal peptide	20250511	-
ADM2	9606	79924	-	AM2|dJ579N16.4	MIM:608682|HGNC:HGNC:28898|Ensembl:ENSG00000128165|AllianceGenome:HGNC:28898	22	22q13.33	adrenomedullin 2	protein-coding	ADM2	adrenomedullin 2	O	protein ADM2|intermedin	20250503	-
AEBP1	9606	165	-	ACLP	MIM:602981|HGNC:HGNC:303|Ensembl:ENSG00000106624|AllianceGenome:HGNC:303	7	7p13	AE binding protein 1	protein-coding	AEBP1	AE binding protein 1	O	adipocyte enhancer-binding protein 1|aortic carboxypeptidase-like protein	20250503	-
AFAP1L1	9606	134265	-	-	MIM:614410|HGNC:HGNC:26714|Ensembl:ENSG00000157510|AllianceGenome:HGNC:26714	5	5q32	actin filament associated protein 1 like 1	protein-coding	AFAP1L1	actin filament associated protein 1 like 1	O	actin filament-associated protein 1-like 1|AFAP1-like protein 1	20250511	-
AFAP1L2	9606	84632	-	CTB-1144G6.4|KIAA1914|XB130	MIM:612420|HGNC:HGNC:25901|Ensembl:ENSG00000169129|AllianceGenome:HGNC:25901	10	10q25.3	actin filament associated protein 1 like 2	protein-coding	AFAP1L2	actin filament associated protein 1 like 2	O	actin filament-associated protein 1-like 2|AFAP1-like protein 2|CTB-1144G6.6	20250503	-
AGFG2	9606	3268	-	HRBL|RABR	MIM:604019|HGNC:HGNC:5177|Ensembl:ENSG00000106351|AllianceGenome:HGNC:5177	7	7q22.1	ArfGAP with FG repeats 2	protein-coding	AGFG2	ArfGAP with FG repeats 2	O	arf-GAP domain and FG repeat-containing protein 2|HIV-1 Rev-binding protein-like protein|Rev/Rex activation domain binding protein-related|arf-GAP domain and FG repeats-containing protein 2|nucleoporin|rev/Rex activation domain-binding protein related	20250511	-
AGMAT	9606	79814	-	-	MIM:617887|HGNC:HGNC:18407|Ensembl:ENSG00000116771|AllianceGenome:HGNC:18407	1	1p36.21	agmatinase (putative)	protein-coding	AGMAT	agmatinase (putative)	O	guanidino acid hydrolase, mitochondrial|AUH|agmatinase|agmatinase, mitochondrial|agmatine ureohydrolase (agmatinase)|arginase, mitochondrial|guanidinobutyrase, mitochondrial|guanidinopropionase, mitochondrial	20250503	-
AGPAT2	9606	10555	-	1-AGPAT2|BSCL|BSCL1|LPAAB|LPAAT-beta|LPLAT2	MIM:603100|HGNC:HGNC:325|Ensembl:ENSG00000169692|AllianceGenome:HGNC:325	9	9q34.3	1-acylglycerol-3-phosphate O-acyltransferase 2	protein-coding	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	O	1-acyl-sn-glycerol-3-phosphate acyltransferase beta|1-AGP acyltransferase 2|1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)|lysophosphatidic acid acyltransferase-beta|lysophospholipid acyltransferase 2|testicular tissue protein Li 143	20250503	-
AHNAK	9606	79026	-	AHNAK1|AHNAKRS|PM227	MIM:103390|HGNC:HGNC:347|Ensembl:ENSG00000124942|AllianceGenome:HGNC:347	11	11q12.3	AHNAK nucleoprotein	protein-coding	AHNAK	AHNAK nucleoprotein	O	neuroblast differentiation-associated protein AHNAK|AHNAK-related|desmoyokin	20250511	-
